Estructura,N,Trial,Preprocesamiento_ns,TiempoBatch_s,Throughput,Memoria_Bytes
Full_Precalc,4096,4,71216031,0.063833,78329383.391407,67141632
Block_Decomp,4096,4,19854,1.503477,3325625.084225,256
Sparse_Table,4096,4,508874,0.125139,39955692.972240,245760
Segment_Tree,4096,4,138992,2.277432,2195454.755815,65540
Hybrid_1,4096,4,90974,0.720607,6938598.935039,15048
Hybrid_2,4096,4,625785,0.433824,11525420.525137,116096
Hybrid_3,4096,4,255462,1.286458,3886639.740565,53328
Fischer_Heun,4096,4,169081,0.236407,21149989.835526,69972
Naive,4096,5,137,11.500811,434751.956188,0
Full_Precalc,4096,5,74244159,0.062354,80187078.378347,67141632
Block_Decomp,4096,5,18477,1.508143,3315334.490684,256
Sparse_Table,4096,5,460964,0.114254,43762171.189754,245760
Segment_Tree,4096,5,170476,2.218333,2253945.117329,65540
Hybrid_1,4096,5,60208,0.741935,6739134.557375,15048
Hybrid_2,4096,5,570665,0.454531,11000353.513961,116096
Hybrid_3,4096,5,253349,1.293693,3864905.783333,53328
Fischer_Heun,4096,5,167394,0.212335,23547659.150516,70116
Naive,4096,6,291,10.877892,459647.879461,0
Full_Precalc,4096,6,75602794,0.075693,66056076.006975,67141632
Block_Decomp,4096,6,35386,1.537710,3251588.910544,256
Sparse_Table,4096,6,851340,0.142411,35109681.944200,245760
Segment_Tree,4096,6,155157,2.151054,2324441.643769,65540
Hybrid_1,4096,6,60240,0.782879,6386681.245587,15048
Hybrid_2,4096,6,517645,0.413787,12083521.902734,116096
Hybrid_3,4096,6,249480,1.183235,4225703.687652,53328
Fischer_Heun,4096,6,126541,0.209727,23840537.396992,70008
Naive,4096,7,382,9.808773,509747.779296,0
Full_Precalc,4096,7,70356432,0.061327,81530661.863793,67141632
Block_Decomp,4096,7,22842,1.482075,3373648.493557,256
Sparse_Table,4096,7,391900,0.136503,36629246.350692,245760
Segment_Tree,4096,7,169015,2.394416,2088192.018451,65540
Hybrid_1,4096,7,126051,0.893816,5593991.316709,15048
Hybrid_2,4096,7,351021,0.533270,9376121.518915,116096
Hybrid_3,4096,7,335874,1.455515,3435209.847148,53328
Fischer_Heun,4096,7,175910,0.300830,16620664.821607,70008
Naive,4096,8,309,10.192407,490561.276678,0
Full_Precalc,4096,8,76429381,0.066815,74832964.591406,67141632
Block_Decomp,4096,8,22716,1.584356,3155857.051102,256
Sparse_Table,4096,8,452571,0.118884,42057929.127965,245760
Segment_Tree,4096,8,129805,2.137149,2339564.952217,65540
Hybrid_1,4096,8,103670,0.658249,7595908.900587,15048
Hybrid_2,4096,8,241323,0.374571,13348613.687201,116096
Hybrid_3,4096,8,239378,1.192554,4192681.015527,53328
Fischer_Heun,4096,8,245310,0.225009,22221367.144015,69756
Naive,4096,9,332,10.505831,475926.157228,0
Full_Precalc,4096,9,70205563,0.060988,81983308.723037,67141632
Block_Decomp,4096,9,16500,1.329966,3759494.309638,256
Sparse_Table,4096,9,480798,0.112552,44423753.636951,245760
Segment_Tree,4096,9,144392,2.033310,2459044.339877,65540
Hybrid_1,4096,9,59992,0.707741,7064733.592973,15048
Hybrid_2,4096,9,289348,0.392038,12753878.026415,116096
Hybrid_3,4096,9,254952,1.086261,4602947.294586,53328
Fischer_Heun,4096,9,138518,0.223324,22389024.033516,69936
Naive,4096,10,338,9.942647,502884.199898,0
Full_Precalc,4096,10,72593613,0.074017,67552277.018378,67141632
Block_Decomp,4096,10,48096,1.444059,3462462.507019,256
Sparse_Table,4096,10,467532,0.118859,42066546.702411,245760
Segment_Tree,4096,10,131571,2.179202,2294418.326046,65540
Hybrid_1,4096,10,58087,0.710009,7042162.092042,15048
Hybrid_2,4096,10,471775,0.393074,12720266.261224,116096
Hybrid_3,4096,10,250161,1.173487,4260807.151951,53328
Fischer_Heun,4096,10,155304,0.208473,23983960.064749,69864
Naive,4096,11,341,10.359824,482633.682413,0
Full_Precalc,4096,11,87100436,0.097727,51162679.044051,67141632
Block_Decomp,4096,11,26707,1.501488,3330030.424896,256
Sparse_Table,4096,11,620373,0.128416,38935895.070192,245760
Segment_Tree,4096,11,137919,2.098110,2383097.576167,65540
Hybrid_1,4096,11,57982,0.668756,7476568.210930,15048
Hybrid_2,4096,11,253501,0.382768,13062729.930499,116096
Hybrid_3,4096,11,211087,1.187990,4208788.654926,53328
Fischer_Heun,4096,11,224689,0.206481,24215361.037521,69576
Naive,4096,12,257,9.872477,506458.493324,0
Full_Precalc,4096,12,65692328,0.064074,78035011.000752,67141632
Block_Decomp,4096,12,20834,1.432104,3491367.165594,256
Sparse_Table,4096,12,515321,0.120011,41662936.445090,245760
Segment_Tree,4096,12,148346,2.005271,2493428.423524,65540
Hybrid_1,4096,12,41061,0.662559,7546497.426943,15048
Hybrid_2,4096,12,500458,0.422811,11825623.984371,116096
Hybrid_3,4096,12,244964,1.131167,4420212.024876,53328
Fischer_Heun,4096,12,205274,0.236300,21159534.805257,69792
Naive,4096,13,270,9.892697,505423.334198,0
Full_Precalc,4096,13,70503024,0.064928,77007856.649567,67141632
Block_Decomp,4096,13,21013,1.386290,3606748.899200,256
Sparse_Table,4096,13,425866,0.114790,43557819.036654,245760
Segment_Tree,4096,13,130576,2.079954,2403898.854706,65540
Hybrid_1,4096,13,58598,0.724684,6899555.000505,15048
Hybrid_2,4096,13,465517,0.373994,13369196.077031,116096
Hybrid_3,4096,13,228219,1.270012,3936972.112669,53328
Fischer_Heun,4096,13,162662,0.264810,18881455.763260,69900
Naive,4096,14,120,10.149006,492659.098130,0
Full_Precalc,4096,14,71767632,0.065566,76259048.326732,67141632
Block_Decomp,4096,14,26926,1.515106,3300100.034546,256
Sparse_Table,4096,14,462508,0.119419,41869388.476144,245760
Segment_Tree,4096,14,131373,2.121995,2356272.824272,65540
Hybrid_1,4096,14,62167,0.844448,5921027.925311,15048
Hybrid_2,4096,14,336434,0.449682,11118976.724664,116096
Hybrid_3,4096,14,256974,1.169272,4276163.484346,53328
Fischer_Heun,4096,14,167546,0.233531,21410403.752812,70116
Naive,4096,15,357,10.393752,481058.222241,0
Full_Precalc,4096,15,72896973,0.067885,73654175.439002,67141632
Block_Decomp,4096,15,29126,1.494819,3344885.466151,256
Sparse_Table,4096,15,436005,0.152521,32782453.703062,245760
Segment_Tree,4096,15,166195,2.194265,2278667.211267,65540
Hybrid_1,4096,15,51937,0.838267,5964685.637298,15048
Hybrid_2,4096,15,339790,0.468532,10671634.377922,116096
Hybrid_3,4096,15,267757,1.243227,4021791.249002,53328
Fischer_Heun,4096,15,277281,0.237758,21029774.295129,69720
Naive,4096,16,296,11.152581,448326.730766,0
Full_Precalc,4096,16,65108926,0.064282,77782746.193904,67141632
Block_Decomp,4096,16,20908,1.530171,3267608.321894,256
Sparse_Table,4096,16,430048,0.124143,40276260.347293,245760
Segment_Tree,4096,16,147868,2.052681,2435839.104046,65540
Hybrid_1,4096,16,49406,0.730476,6844851.971842,15048
Hybrid_2,4096,16,355388,0.438180,11410837.943131,116096
Hybrid_3,4096,16,266864,1.157650,4319095.889255,53328
Fischer_Heun,4096,16,185702,0.255749,19550425.225072,70008
Naive,4096,17,491,10.975068,455578.031846,0
Full_Precalc,4096,17,87809031,0.114283,43751103.019996,67141632
Block_Decomp,4096,17,20855,1.707661,2927981.194369,256
Sparse_Table,4096,17,516927,0.130536,38303675.754788,245760
Segment_Tree,4096,17,140204,2.526216,1979244.875043,65540
Hybrid_1,4096,17,62727,0.736618,6787780.334293,15048
Hybrid_2,4096,17,375133,0.452712,11044541.706753,116096
Hybrid_3,4096,17,270166,1.212205,4124715.947518,53328
Fischer_Heun,4096,17,231316,0.300219,16654510.927746,69792
Naive,4096,18,296,10.813831,462370.821007,0
Full_Precalc,4096,18,76190855,0.073597,67937898.890580,67141632
Block_Decomp,4096,18,41762,1.579482,3165594.976646,256
Sparse_Table,4096,18,513768,0.125221,39929489.632284,245760
Segment_Tree,4096,18,128585,2.311462,2163133.524638,65540
Hybrid_1,4096,18,65245,0.763757,6546584.260219,15048
Hybrid_2,4096,18,364215,0.438758,11395803.271632,116096
Hybrid_3,4096,18,293296,1.396403,3580627.638623,53328
Fischer_Heun,4096,18,177866,0.245934,20330627.397306,69936
Naive,4096,19,138,10.837976,461340.734221,0
Full_Precalc,4096,19,74555059,0.078521,63677299.340795,67141632
Block_Decomp,4096,19,29366,1.489632,3356534.356687,256
Sparse_Table,4096,19,431481,0.129131,38720287.077784,245760
Segment_Tree,4096,19,137950,2.191348,2281700.288318,65540
Hybrid_1,4096,19,76641,0.770556,6488823.198004,15048
Hybrid_2,4096,19,303975,0.423681,11801333.054979,116096
Hybrid_3,4096,19,269076,1.307576,3823869.072558,53328
Fischer_Heun,4096,19,160671,0.216061,23141568.336021,70044
Naive,4096,20,584,10.815041,462319.116044,0
Full_Precalc,4096,20,79640467,0.080646,61999099.971466,67141632
Block_Decomp,4096,20,41596,1.537164,3252743.657886,256
Sparse_Table,4096,20,437686,0.114350,43725482.083715,245760
Segment_Tree,4096,20,133212,2.135320,2341569.197456,65540
Hybrid_1,4096,20,66611,0.727394,6873858.368121,15048
Hybrid_2,4096,20,300994,0.411750,12143283.222909,116096
Hybrid_3,4096,20,238120,1.184967,4219528.063306,53328
Fischer_Heun,4096,20,175329,0.260628,19184439.326300,70080
Naive,4096,21,455,11.682436,427992.921545,0
Full_Precalc,4096,21,73634687,0.094501,52909740.490633,67141632
